cliente_id,nombre_completo,documento_id,fecha_nacimiento,fecha_alta,segmento,ingresos_mensuales,pep,pais_residencia,riesgo_base,telefonos,emails,productos_activos,ultima_actualizacion
C000281,Rafael Lucia Mendez Martinez,DPI-4064580265892,2002-02-11,2025-10-17,PYME,5515.70,false,GT,30.20,+50254401507|+50254397443,rafael.lucia.mendez.martinez.281@correo.com,CORRIENTE|TARJETA_DEBITO|AHORRO,2026-02-14T19:03:45Z
C000282,Sofia Rafael Mendez Ramirez,DPI-2982694885337,1982-06-06,2026-04-16,PYME,12963.95,false,GT,44.57,+50266980027,sofia.rafael.mendez.ramirez.282@correo.com,SEGURO|PRESTAMO|AHORRO,2026-01-04T17:17:49Z
C000283,Paola Sofia Vasquez Ruiz,DPI-3090260912601,1969-05-06,2018-04-08,PYME,17035.76,false,GT,33.84,+50233955344|+50273693731,paola.sofia.vasquez.ruiz.283@correo.com,TARJETA_DEBITO|PRESTAMO|TARJETA_CREDITO|AHORRO,2026-01-20T12:16:15Z
C000284,Silvia Maria Ruiz Hernandez,DPI-1218574673825,2000-07-03,2024-10-17,PYME,7896.77,false,GT,25.15,+50263036270,silvia.maria.ruiz.hernandez.284@correo.com,CORRIENTE,2026-02-10T22:46:30Z
C000285,Patricia Daniela Pineda Flores,DPI-9319709387479,2005-10-19,2024-03-09,PYME,13050.15,false,GT,42.91,+50249028161,patricia.daniela.pineda.flores.285@correo.com,CORRIENTE|SEGURO|INVERSION,2026-03-25T18:28:27Z
C000286,Paola Alberto Diaz Mendez,DPI-6156869756914,1993-06-08,2021-06-05,PERSONAL,1658.88,false,GT,34.50,+50240817768|+50237607789,paola.alberto.diaz.mendez.286@correo.com,TARJETA_CREDITO|TARJETA_DEBITO|AHORRO|INVERSION,2026-02-11T04:35:45Z
C000287,Monica Luis Vasquez Hernandez,DPI-3989977378059,1999-04-17,2019-04-26,PREMIUM,10844.52,false,SV,26.35,+50221642893|+50241480430,monica.luis.vasquez.hernandez.287@correo.com,CORRIENTE,2026-01-25T05:34:00Z
C000288,Rafael Luis Ramirez Santos,DPI-1757711496775,1955-12-10,2026-03-26,PREMIUM,5766.32,false,HN,59.37,+50258642274,rafael.luis.ramirez.santos.288@correo.com,CORRIENTE|AHORRO|SEGURO,2026-02-25T02:04:24Z
C000289,Ricardo Andres Reyes Cruz,DPI-8943806222601,1977-02-13,2019-11-16,PERSONAL,1592.25,false,CR,37.05,+50229213426,ricardo.andres.reyes.cruz.289@correo.com,PRESTAMO|CORRIENTE,2026-02-02T01:47:10Z
C000290,Oscar Paola Santos Ramirez,DPI-3502129094249,1969-07-11,2021-07-16,PREMIUM,10498.41,false,GT,30.06,+50223510596,oscar.paola.santos.ramirez.290@correo.com,PRESTAMO|SEGURO|INVERSION|CORRIENTE,2026-01-15T16:01:45Z
C000291,Patricia Luis Morales Mendez,DPI-3625763913433,1988-01-12,2025-03-26,PREMIUM,10237.50,false,GT,42.22,+50250494488|+50235044599,patricia.luis.morales.mendez.291@correo.com,PRESTAMO|AHORRO,2026-03-09T08:22:32Z
C000292,Ricardo Silvia Castillo Reyes,DPI-4633551669125,1967-01-18,2021-04-08,PYME,8865.00,false,SV,26.52,+50270068362|+50240663084,ricardo.silvia.castillo.reyes.292@correo.com,SEGURO,2026-04-03T06:42:31Z
C000293,Fernanda Rafael Hernandez Lopez,DPI-2565205077451,1976-06-17,2022-10-02,PERSONAL,1699.51,false,PA,40.59,+50264223199|+50245626487,fernanda.rafael.hernandez.lopez.293@correo.com,AHORRO|TARJETA_DEBITO|SEGURO,2026-04-13T08:55:08Z
C000294,Juan Andres Gonzalez Garcia,DPI-2742064771495,1994-05-10,2021-04-21,PREMIUM,10171.58,false,GT,30.98,+50231650636|+50224518833,juan.andres.gonzalez.garcia.294@correo.com,SEGURO,2026-04-07T17:05:05Z
C000295,Sofia Ricardo Ruiz Pineda,DPI-3899562429337,1981-05-18,2024-09-30,PERSONAL,881.79,false,GT,42.95,+50272785658,sofia.ricardo.ruiz.pineda.295@correo.com,PRESTAMO|AHORRO|CORRIENTE|TARJETA_CREDITO,2026-03-01T08:52:44Z
C000296,Jose Miguel Morales Martinez,DPI-7822919627958,1960-07-25,2021-07-27,PREMIUM,3184.15,false,GT,51.70,+50266688174|+50263850866,jose.miguel.morales.martinez.296@correo.com,TARJETA_DEBITO|AHORRO,2026-02-12T23:44:08Z
C000297,Miguel Fernanda Reyes Garcia,DPI-2983215749512,1986-12-08,2020-12-08,PYME,3962.38,false,MX,29.12,+50254404895,miguel.fernanda.reyes.garcia.297@correo.com,AHORRO|CORRIENTE,2026-03-07T04:40:37Z
C000298,Rafael Mario Castillo Hernandez,DPI-8111239507335,1955-07-13,2025-06-02,PERSONAL,1519.44,false,GT,22.03,+50279667065|+50249761423,rafael.mario.castillo.hernandez.298@correo.com,INVERSION|CORRIENTE|AHORRO|TARJETA_DEBITO,2026-01-28T05:15:17Z
C000299,Juan Paola Rojas Morales,DPI-3645077733668,1967-05-13,2026-02-22,PYME,11309.50,false,GT,24.41,+50271995301,juan.paola.rojas.morales.299@correo.com,AHORRO|TARJETA_CREDITO|INVERSION|CORRIENTE,2026-02-27T23:08:10Z
C000300,Silvia Carlos Castillo Santos,DPI-9771340331722,1989-07-22,2018-07-01,PERSONAL,1196.27,false,GT,30.52,+50244443296|+50254043822,silvia.carlos.castillo.santos.300@correo.com,AHORRO,2026-03-16T02:22:02Z
C000301,Andres Natalia Mendez Hernandez,DPI-2086434441955,2003-01-17,2022-03-16,PREMIUM,3994.67,false,GT,33.03,+50234164452,andres.natalia.mendez.hernandez.301@correo.com,PRESTAMO|CORRIENTE,2026-01-04T13:59:30Z
C000302,Jorge Gabriela Martinez Reyes,DPI-5037569082277,1983-03-02,2022-08-21,PERSONAL,2155.87,false,GT,35.55,+50266245913,jorge.gabriela.martinez.reyes.302@correo.com,SEGURO|TARJETA_CREDITO|AHORRO,2026-02-18T18:15:29Z
C000303,Jose Valeria Ruiz Ruiz,DPI-8357507557811,1986-05-04,2021-12-29,PERSONAL,3208.50,false,GT,25.80,+50263516178|+50265334809,jose.valeria.ruiz.ruiz.303@correo.com,AHORRO,2026-04-01T11:07:26Z
C000304,Ricardo Silvia Mendez Diaz,DPI-1958261216147,2003-12-12,2020-06-30,PERSONAL,1630.17,false,GT,28.77,+50248375713,ricardo.silvia.mendez.diaz.304@correo.com,AHORRO,2026-03-31T04:39:50Z
C000305,Ricardo Paola Perez Garcia,DPI-2018305061536,1969-09-15,2021-03-01,PREMIUM,6519.14,false,GT,35.68,+50276597799|+50245947083,ricardo.paola.perez.garcia.305@correo.com,INVERSION|SEGURO,2026-04-06T00:12:12Z
C000306,Maria Miguel Ramirez Mendez,DPI-1721499424542,1956-04-14,2018-01-07,PERSONAL,1223.63,false,GT,30.58,+50229320390,maria.miguel.ramirez.mendez.306@correo.com,SEGURO|TARJETA_DEBITO|CORRIENTE|AHORRO,2026-04-16T01:32:26Z
C000307,Maria Lucia Santos Lopez,DPI-8471686135766,2004-10-16,2024-12-30,PREMIUM,11201.18,false,GT,30.49,+50224396649|+50234421968,maria.lucia.santos.lopez.307@correo.com,SEGURO|CORRIENTE,2026-01-28T16:02:11Z
C000308,Carlos Paola Diaz Rojas,DPI-4532748272127,1996-09-12,2021-10-12,PERSONAL,1241.23,false,GT,35.99,+50227621115,carlos.paola.diaz.rojas.308@correo.com,PRESTAMO|TARJETA_DEBITO,2026-03-28T12:18:40Z
C000309,Daniela Gabriela Ramirez Reyes,DPI-2974589471353,2001-07-14,2022-12-21,PYME,15309.39,false,GT,32.50,+50266690702,daniela.gabriela.ramirez.reyes.309@correo.com,SEGURO|INVERSION|AHORRO,2026-03-27T17:35:33Z
C000310,Jorge Camila Ruiz Vasquez,DPI-5166974912161,1983-12-26,2023-04-08,PERSONAL,608.33,false,GT,41.80,+50256836589,jorge.camila.ruiz.vasquez.310@correo.com,AHORRO,2026-01-05T08:44:34Z
C000311,Luis Ricardo Diaz Gonzalez,DPI-9935545982977,1992-12-20,2021-04-01,PREMIUM,9904.06,false,GT,46.57,+50226396754,luis.ricardo.diaz.gonzalez.311@correo.com,TARJETA_CREDITO|PRESTAMO|CORRIENTE|SEGURO,2026-02-12T02:54:30Z
C000312,Pablo Natalia Diaz Lopez,DPI-7541561595872,2000-11-08,2021-01-31,PYME,15043.72,false,GT,39.82,+50267721672,pablo.natalia.diaz.lopez.312@correo.com,AHORRO|TARJETA_CREDITO|TARJETA_DEBITO|INVERSION,2026-03-18T10:42:18Z
C000313,Fernanda Valeria Gonzalez Santos,DPI-5738411884475,1975-09-07,2022-06-04,PERSONAL,1174.31,false,GT,38.84,+50237774445|+50230015926,fernanda.valeria.gonzalez.santos.313@correo.com,INVERSION|PRESTAMO|AHORRO|SEGURO,2026-03-04T07:48:50Z
C000314,Patricia Miguel Martinez Rojas,DPI-8416414401767,1985-06-13,2024-02-14,PYME,10508.13,false,GT,45.02,+50255218140,patricia.miguel.martinez.rojas.314@correo.com,INVERSION|TARJETA_CREDITO|SEGURO|PRESTAMO,2026-02-24T13:15:41Z
C000315,Esteban Daniela Rojas Hernandez,DPI-4378439166039,1964-12-04,2021-01-14,PERSONAL,2167.05,false,GT,18.33,+50263989847,esteban.daniela.rojas.hernandez.315@correo.com,SEGURO|AHORRO|INVERSION,2026-02-06T08:30:11Z
C000316,Andres Jorge Mendez Hernandez,DPI-8433480404238,1957-01-28,2021-01-28,PERSONAL,2733.84,false,GT,29.72,+50265517733,andres.jorge.mendez.hernandez.316@correo.com,PRESTAMO|CORRIENTE,2026-04-15T16:48:12Z
C000317,Maria Natalia Flores Martinez,DPI-2344453414215,1986-12-06,2018-09-21,PERSONAL,1761.44,false,US,37.15,+50231011828,maria.natalia.flores.martinez.317@correo.com,INVERSION|AHORRO,2026-01-27T12:57:40Z
C000318,Andres Andres Diaz Perez,DPI-3230367421422,1972-07-25,2025-05-09,PYME,11273.61,false,GT,41.12,+50277778812|+50260332122,andres.andres.diaz.perez.318@correo.com,CORRIENTE|SEGURO|TARJETA_CREDITO,2026-01-22T22:50:56Z
C000319,Oscar Esteban Martinez Cifuentes,DPI-7456424832468,1973-02-28,2022-03-26,PYME,3484.80,false,GT,24.77,+50235466974,oscar.esteban.martinez.cifuentes.319@correo.com,TARJETA_DEBITO|PRESTAMO|TARJETA_CREDITO|AHORRO,2026-02-03T02:23:17Z
C000320,Paola Ana Pineda Ramirez,DPI-3039078898901,1997-05-25,2018-09-06,PERSONAL,548.81,false,GT,32.70,+50229171152,paola.ana.pineda.ramirez.320@correo.com,AHORRO,2026-03-01T09:19:40Z
C000321,Gabriela Paola Rojas Gonzalez,DPI-7094966022217,1974-05-08,2024-06-26,PERSONAL,1959.91,false,GT,34.54,+50271923209,gabriela.paola.rojas.gonzalez.321@correo.com,INVERSION|PRESTAMO,2026-03-04T15:47:41Z
C000322,Jorge Luis Garcia Vasquez,DPI-8860741798730,1998-12-25,2020-05-16,PERSONAL,2534.13,false,GT,22.42,+50278691436,jorge.luis.garcia.vasquez.322@correo.com,PRESTAMO|TARJETA_DEBITO|SEGURO|INVERSION,2026-04-09T10:23:43Z
C000323,Lucia Oscar Rojas Lopez,DPI-8829759175479,1956-09-13,2025-12-18,PERSONAL,1636.95,false,GT,37.74,+50272471993,lucia.oscar.rojas.lopez.323@correo.com,PRESTAMO|TARJETA_CREDITO|AHORRO,2026-03-03T04:13:05Z
C000324,Jose Natalia Vasquez Reyes,DPI-5674125811543,1990-07-21,2024-06-15,PERSONAL,934.09,false,US,50.14,+50245824419,jose.natalia.vasquez.reyes.324@correo.com,CORRIENTE|INVERSION,2026-01-19T01:10:10Z
C000325,Jorge Diego Ruiz Ramirez,DPI-1399553472686,1988-07-02,2019-04-04,PERSONAL,463.07,false,GT,44.32,+50222614973,jorge.diego.ruiz.ramirez.325@correo.com,TARJETA_DEBITO,2026-03-28T02:47:53Z
C000326,Monica Andres Perez Garcia,DPI-1342478981128,1971-08-24,2025-03-21,PERSONAL,2373.96,false,US,33.73,+50266884087|+50232265459,monica.andres.perez.garcia.326@correo.com,TARJETA_CREDITO,2026-03-28T19:20:16Z
C000327,Pablo Luis Cifuentes Hernandez,DPI-4081116500733,1992-02-07,2018-10-02,PERSONAL,883.72,true,GT,41.76,+50227595193,pablo.luis.cifuentes.hernandez.327@correo.com,CORRIENTE|TARJETA_DEBITO,2026-02-15T20:55:10Z
C000328,Patricia Patricia Cifuentes Santos,DPI-9085907996164,2003-06-14,2023-06-15,PERSONAL,2857.21,true,GT,45.89,+50227716733|+50265622607,patricia.patricia.cifuentes.santos.328@correo.com,INVERSION|TARJETA_DEBITO|TARJETA_CREDITO|AHORRO,2026-03-16T22:05:00Z
C000329,Maria Daniela Flores Diaz,DPI-4776617320205,1975-01-17,2018-04-10,PERSONAL,2275.07,false,GT,35.32,+50233346875,maria.daniela.flores.diaz.329@correo.com,PRESTAMO|INVERSION|CORRIENTE|AHORRO,2026-02-22T22:09:23Z
C000330,Silvia Fernanda Hernandez Flores,DPI-7311482779452,1957-12-27,2018-10-30,PREMIUM,3054.82,false,US,55.39,+50249864688|+50225004993,silvia.fernanda.hernandez.flores.330@correo.com,TARJETA_DEBITO|SEGURO|CORRIENTE,2026-01-30T19:42:29Z
C000331,Daniela Pablo Perez Flores,DPI-9929635988823,1981-01-31,2026-03-10,PERSONAL,2191.36,false,GT,26.95,+50267189357,daniela.pablo.perez.flores.331@correo.com,AHORRO,2026-04-10T14:19:59Z
C000332,Lucia Patricia Flores Santos,DPI-7674524317714,1982-11-18,2022-06-19,PREMIUM,8091.98,false,GT,28.92,+50246129248,lucia.patricia.flores.santos.332@correo.com,CORRIENTE|TARJETA_DEBITO|INVERSION,2026-03-25T13:20:33Z
C000333,Patricia Jorge Castillo Ruiz,DPI-5726283960822,1973-06-13,2021-08-24,PERSONAL,2138.90,false,MX,22.24,+50278920981|+50243429248,patricia.jorge.castillo.ruiz.333@correo.com,INVERSION|SEGURO,2026-02-14T02:02:58Z
C000334,Silvia Rafael Flores Vasquez,DPI-2110127796311,1977-04-27,2021-09-24,PREMIUM,11828.53,false,GT,53.46,+50245510548,silvia.rafael.flores.vasquez.334@correo.com,PRESTAMO|SEGURO|TARJETA_CREDITO|TARJETA_DEBITO,2026-02-18T07:29:08Z
C000335,Alberto Fernanda Cifuentes Hernandez,DPI-5846543389081,1976-03-08,2020-05-07,PERSONAL,1036.27,false,GT,22.52,+50262297355,alberto.fernanda.cifuentes.hernandez.335@correo.com,PRESTAMO|INVERSION|AHORRO|SEGURO,2026-01-15T18:28:29Z
C000336,Gabriela Miguel Gonzalez Castillo,DPI-6640394069047,2000-04-30,2018-06-05,PERSONAL,2420.12,false,GT,18.38,+50227678148|+50249049369,gabriela.miguel.gonzalez.castillo.336@correo.com,SEGURO,2026-02-01T01:44:22Z
C000337,Mario Alberto Diaz Lopez,DPI-5351044348156,1955-06-23,2026-03-20,PERSONAL,471.55,false,GT,37.67,+50239709510,mario.alberto.diaz.lopez.337@correo.com,CORRIENTE|PRESTAMO|SEGURO|TARJETA_DEBITO,2026-01-25T06:09:56Z
C000338,Camila Monica Pineda Cruz,DPI-7464148230471,1996-03-09,2022-04-13,PERSONAL,1752.72,false,MX,45.97,+50220951968,camila.monica.pineda.cruz.338@correo.com,TARJETA_CREDITO|CORRIENTE|INVERSION|PRESTAMO,2026-01-30T05:58:06Z
C000339,Maria Sofia Mendez Santos,DPI-5648533199667,1983-10-14,2021-03-03,PERSONAL,1526.28,false,GT,25.37,+50274801310,maria.sofia.mendez.santos.339@correo.com,TARJETA_DEBITO|PRESTAMO,2026-01-30T00:51:23Z
C000340,Oscar Alberto Martinez Santos,DPI-6617717418834,2002-09-27,2019-03-14,CORPORATIVO,23432.97,false,GT,40.07,+50256221513|+50240838579,oscar.alberto.martinez.santos.340@correo.com,CORRIENTE|INVERSION,2026-04-10T10:21:38Z
C000341,Sofia Jose Reyes Castillo,DPI-6954912629462,1968-03-03,2022-06-29,PERSONAL,1087.22,false,GT,28.37,+50272429982,sofia.jose.reyes.castillo.341@correo.com,AHORRO,2026-01-03T19:34:08Z
C000342,Camila Monica Lopez Ramirez,DPI-4463213999819,1993-06-01,2025-02-12,PERSONAL,2399.49,false,GT,42.39,+50257417544,camila.monica.lopez.ramirez.342@correo.com,CORRIENTE|TARJETA_CREDITO,2026-04-03T05:30:09Z
C000343,Karla Maria Vasquez Morales,DPI-8202146076248,1973-12-05,2024-03-20,PREMIUM,11481.09,false,HN,47.63,+50245133251,karla.maria.vasquez.morales.343@correo.com,AHORRO|SEGURO,2026-04-19T09:58:27Z
C000344,Jose Andres Vasquez Hernandez,DPI-5421589043279,1960-01-13,2024-12-31,PERSONAL,1722.93,false,GT,32.21,+50257933483|+50222379418,jose.andres.vasquez.hernandez.344@correo.com,TARJETA_CREDITO|TARJETA_DEBITO|SEGURO,2026-03-28T04:44:12Z
C000345,Esteban Monica Martinez Ramirez,DPI-7078810229924,1970-01-02,2026-01-13,PREMIUM,5561.77,false,GT,46.24,+50256588285,esteban.monica.martinez.ramirez.345@correo.com,TARJETA_CREDITO|SEGURO|INVERSION,2026-01-30T11:35:45Z
C000346,Sofia Andres Vasquez Cruz,DPI-8982960414377,1977-01-24,2021-08-01,PERSONAL,1044.76,false,GT,39.85,+50225172822,sofia.andres.vasquez.cruz.346@correo.com,TARJETA_DEBITO|SEGURO|CORRIENTE,2026-01-20T18:51:33Z
C000347,Silvia Jorge Castillo Garcia,DPI-4845238074101,2003-02-11,2021-11-12,PREMIUM,6860.50,true,GT,57.16,+50274673420,silvia.jorge.castillo.garcia.347@correo.com,CORRIENTE|TARJETA_DEBITO,2026-01-23T16:13:10Z
C000348,Karla Juan Perez Vasquez,DPI-7961487938290,1958-01-03,2023-01-16,PERSONAL,1622.69,false,GT,41.12,+50237981832,karla.juan.perez.vasquez.348@correo.com,INVERSION,2026-03-19T22:11:27Z
C000349,Karla Gabriela Lopez Flores,DPI-7096182621668,1990-11-15,2019-12-03,PERSONAL,3275.07,false,GT,20.36,+50269942160,karla.gabriela.lopez.flores.349@correo.com,INVERSION|TARJETA_DEBITO|AHORRO,2026-01-04T03:25:43Z
C000350,Miguel Lucia Perez Cruz,DPI-7333437897531,1973-03-27,2018-11-23,PYME,9468.74,false,GT,35.37,+50275126967,miguel.lucia.perez.cruz.350@correo.com,CORRIENTE|INVERSION|PRESTAMO|AHORRO,2026-02-06T21:25:09Z
C000351,Silvia Lucia Garcia Morales,DPI-4315119983002,1972-10-27,2020-11-22,CORPORATIVO,47700.94,false,PA,52.69,+50229182463,silvia.lucia.garcia.morales.351@correo.com,CORRIENTE|PRESTAMO,2026-04-20T22:30:13Z
C000352,Esteban Jose Pineda Lopez,DPI-7279993151221,1978-08-20,2025-02-14,PERSONAL,1615.06,false,GT,34.07,+50261855296|+50260828714,esteban.jose.pineda.lopez.352@correo.com,PRESTAMO|INVERSION,2026-02-26T15:01:37Z
C000353,Silvia Paola Gonzalez Diaz,DPI-8650475493481,1960-03-18,2023-07-29,PERSONAL,487.03,false,GT,44.63,+50235991411|+50269750231,silvia.paola.gonzalez.diaz.353@correo.com,TARJETA_DEBITO|AHORRO,2026-03-05T01:15:44Z
C000354,Miguel Valeria Flores Cruz,DPI-5272196180728,1956-11-15,2023-06-01,PERSONAL,2794.63,false,GT,24.00,+50221289320|+50238902172,miguel.valeria.flores.cruz.354@correo.com,SEGURO|TARJETA_DEBITO|CORRIENTE,2026-03-19T13:23:07Z
C000355,Silvia Daniela Pineda Diaz,DPI-2139508768958,1967-11-26,2021-12-19,PERSONAL,542.62,false,GT,35.02,+50234473333,silvia.daniela.pineda.diaz.355@correo.com,PRESTAMO|AHORRO|INVERSION,2026-01-17T10:45:02Z
C000356,Carlos Sofia Reyes Cifuentes,DPI-6137605631619,1982-05-21,2019-08-09,PERSONAL,616.87,false,GT,34.90,+50237508605,carlos.sofia.reyes.cifuentes.356@correo.com,SEGURO,2026-04-14T05:23:04Z
C000357,Jorge Valeria Cifuentes Ruiz,DPI-5403803451139,1990-07-03,2018-01-03,PERSONAL,1808.40,false,GT,25.03,+50276520051|+50222635774,jorge.valeria.cifuentes.ruiz.357@correo.com,CORRIENTE|SEGURO|PRESTAMO|TARJETA_DEBITO,2026-01-14T20:30:55Z
C000358,Esteban Luis Mendez Diaz,DPI-7688895803578,1985-01-12,2020-06-26,PERSONAL,2505.54,false,GT,32.78,+50239829125,esteban.luis.mendez.diaz.358@correo.com,TARJETA_CREDITO|TARJETA_DEBITO,2026-01-06T20:01:03Z
C000359,Mario Jorge Gonzalez Lopez,DPI-3238162931083,1981-05-01,2024-05-04,PREMIUM,5708.02,false,GT,28.19,+50248782740|+50228161439,mario.jorge.gonzalez.lopez.359@correo.com,PRESTAMO|INVERSION,2026-01-27T23:58:23Z
C000360,Camila Luis Martinez Reyes,DPI-3032797392166,1969-01-24,2025-11-27,PYME,13146.22,false,GT,44.22,+50224691417,camila.luis.martinez.reyes.360@correo.com,TARJETA_DEBITO|PRESTAMO|TARJETA_CREDITO,2026-03-12T23:26:27Z
C000361,Lucia Luis Cruz Diaz,DPI-5048976661333,1997-06-04,2022-02-28,PERSONAL,2030.91,false,US,36.00,+50256168077|+50227201786,lucia.luis.cruz.diaz.361@correo.com,TARJETA_CREDITO,2026-02-04T15:09:00Z
C000362,Mario Daniela Santos Martinez,DPI-7958015095710,1972-08-31,2023-03-31,PERSONAL,2597.69,false,GT,45.09,+50257911575,mario.daniela.santos.martinez.362@correo.com,TARJETA_CREDITO,2026-02-02T12:15:57Z
C000363,Miguel Luis Gonzalez Lopez,DPI-1221348486886,1991-09-20,2021-05-12,PYME,11962.26,false,GT,25.50,+50278145610,miguel.luis.gonzalez.lopez.363@correo.com,AHORRO|CORRIENTE,2026-02-16T10:00:30Z
C000364,Ana Rafael Rojas Cruz,DPI-8097263197607,2005-03-19,2019-06-17,PERSONAL,1696.68,false,GT,31.33,+50227983187,ana.rafael.rojas.cruz.364@correo.com,SEGURO|CORRIENTE,2026-01-25T03:26:14Z
C000365,Alberto Paola Reyes Mendez,DPI-3106622964613,1977-10-23,2022-01-09,PREMIUM,9127.94,false,GT,52.44,+50238496225,alberto.paola.reyes.mendez.365@correo.com,AHORRO|TARJETA_CREDITO|TARJETA_DEBITO|INVERSION,2026-04-09T10:17:08Z
C000366,Luis Jorge Flores Pineda,DPI-2225653859258,1976-02-01,2023-09-23,PERSONAL,1787.23,false,GT,35.07,+50244082841,luis.jorge.flores.pineda.366@correo.com,TARJETA_CREDITO,2026-02-09T20:42:59Z
C000367,Ana Monica Cruz Gonzalez,DPI-7386200482470,1995-08-24,2024-07-30,PERSONAL,2074.13,false,GT,44.75,+50248559982,ana.monica.cruz.gonzalez.367@correo.com,PRESTAMO|AHORRO|TARJETA_CREDITO|INVERSION,2026-03-17T10:29:24Z
C000368,Miguel Jorge Perez Garcia,DPI-2849145261844,1966-03-15,2020-11-14,PERSONAL,3089.64,false,GT,33.01,+50253242734|+50262081491,miguel.jorge.perez.garcia.368@correo.com,TARJETA_CREDITO|PRESTAMO|CORRIENTE|TARJETA_DEBITO,2026-03-06T16:52:22Z
C000369,Lucia Paola Castillo Flores,DPI-3775074008921,2000-11-10,2021-09-04,PERSONAL,1316.87,false,SV,37.13,+50233165849,lucia.paola.castillo.flores.369@correo.com,TARJETA_DEBITO|SEGURO|INVERSION,2026-02-19T09:20:00Z
C000370,Natalia Pablo Martinez Gonzalez,DPI-4734625372310,1962-02-21,2021-04-07,PERSONAL,2094.38,true,GT,55.60,+50262679092,natalia.pablo.martinez.gonzalez.370@correo.com,AHORRO|SEGURO,2026-02-08T00:55:28Z
C000371,Daniela Ana Pineda Reyes,DPI-1080156905440,1958-01-27,2024-11-24,PYME,5560.47,false,GT,44.68,+50247785105,daniela.ana.pineda.reyes.371@correo.com,SEGURO|PRESTAMO,2026-02-06T14:50:00Z
C000372,Ricardo Daniela Cruz Mendez,DPI-6419583784423,1969-07-18,2018-09-16,PERSONAL,1559.18,false,GT,33.45,+50274797480,ricardo.daniela.cruz.mendez.372@correo.com,INVERSION|TARJETA_CREDITO|PRESTAMO,2026-01-19T08:17:33Z
C000373,Andres Monica Morales Vasquez,DPI-7121922480662,1983-08-03,2025-05-21,PERSONAL,1511.72,false,GT,40.07,+50257201033,andres.monica.morales.vasquez.373@correo.com,CORRIENTE,2026-03-13T21:38:22Z
C000374,Lucia Sofia Cifuentes Ramirez,DPI-2268936195000,1963-01-22,2021-01-07,PERSONAL,2754.25,false,GT,33.29,+50247202792,lucia.sofia.cifuentes.ramirez.374@correo.com,PRESTAMO|INVERSION|AHORRO|TARJETA_CREDITO,2026-01-16T00:14:56Z
C000375,Valeria Gabriela Rojas Vasquez,DPI-5518559404953,1976-09-16,2025-02-19,PERSONAL,2330.51,false,GT,19.79,+50242932728,valeria.gabriela.rojas.vasquez.375@correo.com,SEGURO,2026-04-15T04:16:05Z
C000376,Daniela Monica Morales Reyes,DPI-7693059882501,1998-08-27,2020-03-15,PERSONAL,504.96,false,GT,40.14,+50277201136|+50269649186,daniela.monica.morales.reyes.376@correo.com,TARJETA_CREDITO,2026-03-04T18:07:22Z
C000377,Karla Alberto Castillo Hernandez,DPI-9000546652817,1966-10-20,2020-09-10,PERSONAL,823.25,false,GT,21.80,+50249151648,karla.alberto.castillo.hernandez.377@correo.com,PRESTAMO,2026-02-13T16:21:34Z
C000378,Carlos Rafael Garcia Ramirez,DPI-8558299903205,1980-09-04,2019-09-07,PERSONAL,2083.73,false,GT,19.85,+50257933556|+50277090227,carlos.rafael.garcia.ramirez.378@correo.com,TARJETA_CREDITO|AHORRO|SEGURO,2026-04-13T14:10:58Z
C000379,Karla Ricardo Martinez Castillo,DPI-6424761292836,1997-09-07,2019-09-29,PERSONAL,2650.73,false,GT,32.67,+50267534791|+50274768656,karla.ricardo.martinez.castillo.379@correo.com,TARJETA_DEBITO|SEGURO|CORRIENTE|INVERSION,2026-01-23T20:36:11Z
C000380,Luis Ricardo Pineda Morales,DPI-5168403021877,1959-12-16,2024-07-14,PERSONAL,2055.27,false,GT,18.94,+50241389194,luis.ricardo.pineda.morales.380@correo.com,CORRIENTE|TARJETA_CREDITO,2026-03-30T14:54:40Z
C000381,Patricia Valeria Santos Ramirez,DPI-1502034431940,1987-01-03,2023-06-15,CORPORATIVO,23026.64,false,GT,49.38,+50225698327|+50251497299,patricia.valeria.santos.ramirez.381@correo.com,TARJETA_DEBITO|TARJETA_CREDITO|AHORRO|CORRIENTE,2026-01-01T12:03:57Z
C000382,Natalia Silvia Diaz Castillo,DPI-3183948280421,1971-11-03,2018-05-30,PREMIUM,9341.74,false,PA,27.28,+50236045747|+50272732467,natalia.silvia.diaz.castillo.382@correo.com,TARJETA_CREDITO|PRESTAMO|SEGURO|AHORRO,2026-04-17T12:50:49Z
C000383,Sofia Esteban Martinez Santos,DPI-4221239158270,1970-09-19,2018-03-23,PERSONAL,3298.01,false,GT,30.53,+50222278285,sofia.esteban.martinez.santos.383@correo.com,TARJETA_CREDITO|AHORRO|INVERSION,2026-03-25T10:38:56Z
C000384,Patricia Luis Cruz Diaz,DPI-3455913479358,1985-06-08,2023-12-14,PREMIUM,9223.12,false,GT,38.95,+50238961995,patricia.luis.cruz.diaz.384@correo.com,AHORRO|SEGURO|TARJETA_CREDITO,2026-01-09T11:31:24Z
C000385,Silvia Oscar Reyes Pineda,DPI-4711453916979,1969-03-23,2019-03-10,PREMIUM,8281.65,false,GT,52.65,+50267053722|+50238785916,silvia.oscar.reyes.pineda.385@correo.com,PRESTAMO|TARJETA_DEBITO|SEGURO,2026-03-07T03:38:43Z
